Frame,Player_ID,Team,X,Y
0,1,1,59.404075622558594,55.40068817138672
0,5,2,54.8866081237793,51.1251106262207
0,6,2,65.92911529541016,66.68834686279297
0,7,1,64.81607818603516,40.59685516357422
0,8,1,63.92670822143555,28.246042251586914
0,14,1,53.476341247558594,58.08926010131836
0,15,2,60.319366455078125,35.71337127685547
0,18,2,63.370513916015625,60.509883880615234
0,22,2,63.58906555175781,60.83524703979492
1,1,1,59.404075622558594,55.40068817138672
1,5,2,54.8866081237793,51.1251106262207
1,6,2,65.92911529541016,66.68834686279297
1,7,1,64.81607818603516,40.59685516357422
1,8,1,63.92670822143555,28.246042251586914
1,14,1,53.476341247558594,58.08926010131836
1,15,2,60.319366455078125,35.71337127685547
1,18,2,63.370513916015625,60.509883880615234
1,22,2,63.57245635986328,60.83184814453125
2,1,1,59.50019454956055,55.61469650268555
2,5,2,54.961971282958984,51.14044952392578
2,6,2,65.9002456665039,66.72838592529297
2,7,1,64.83856201171875,40.60139846801758
2,8,1,63.95267105102539,28.251245498657227
2,14,1,53.493099212646484,58.092689514160156
2,15,2,60.319366455078125,35.71337127685547
2,18,2,63.42057800292969,60.52012252807617
2,22,2,63.642478942871094,60.901981353759766
3,1,1,59.60727310180664,55.636539459228516
3,5,2,55.075016021728516,51.1634635925293
3,6,2,65.85636901855469,66.76526641845703
3,7,1,64.86103820800781,40.60593795776367
3,8,1,64.03055572509766,28.266860961914062
3,14,1,53.493099212646484,58.092689514160156
3,15,2,60.319366455078125,35.71337127685547
3,18,2,63.42439651489258,60.57725143432617
3,22,2,63.77521896362305,60.92913818359375
4,1,1,59.760013580322266,55.603031158447266
4,5,2,55.1503791809082,51.17880630493164
4,6,2,65.76605987548828,66.7467269897461
4,7,1,64.84513854980469,40.80682373046875
4,8,1,64.08248901367188,28.27726936340332
4,14,1,53.493099212646484,58.092689514160156
4,15,2,60.319366455078125,35.71337127685547
4,18,2,63.491085052490234,60.59089279174805
4,22,2,63.82499694824219,60.9393196105957
5,1,1,59.920806884765625,55.635833740234375
5,5,2,55.19584655761719,51.33199691772461
5,6,2,65.61860656738281,66.80799102783203
5,7,1,64.86756134033203,40.81135177612305
5,8,1,64.18634033203125,28.29808807373047
5,14,1,53.493099212646484,58.092689514160156
5,15,2,60.29155349731445,35.93291091918945
5,18,2,63.60049819946289,60.50046157836914
5,22,2,63.90462875366211,60.89979934692383
6,1,1,60.06373977661133,55.66499328613281
6,5,2,55.2674674987793,51.63257598876953
6,6,2,65.47167205810547,66.8690414428711
6,7,1,64.91241455078125,40.820411682128906
6,8,1,64.23826599121094,28.30849838256836
6,14,1,53.506587982177734,58.152496337890625
6,15,2,60.31508255004883,35.937652587890625
6,18,2,63.79750061035156,60.48418426513672
6,22,2,63.964298248291016,61.07911682128906
7,1,1,60.18880844116211,55.69050979614258
7,5,2,55.35539627075195,51.72159194946289
7,6,2,65.34374237060547,67.02423858642578
7,7,1,64.93799591064453,40.92723083496094
7,8,1,64.2688980102539,28.450931549072266
7,14,1,53.52333068847656,58.15591812133789
7,15,2,60.31508255004883,35.937652587890625
7,18,2,63.83478927612305,60.829593658447266
7,22,2,63.894840240478516,61.28622817993164
8,1,1,60.28231430053711,55.9031982421875
8,5,2,55.43739318847656,51.88005065917969
8,6,2,65.15521240234375,67.12080383300781
8,7,1,64.9827880859375,40.936283111572266
8,8,1,64.3466796875,28.466524124145508
8,14,1,53.52333068847656,58.15591812133789
8,15,2,60.3246955871582,36.05170440673828
8,18,2,63.91792678833008,61.125118255615234
8,22,2,63.95738983154297,61.5186653137207
9,1,1,60.41792297363281,56.187164306640625
9,5,2,55.53068542480469,51.899051666259766
9,6,2,64.94212341308594,67.30094146728516
9,7,1,65.02758026123047,40.94533157348633
9,8,1,64.3770980834961,28.608509063720703
9,14,1,53.52333068847656,58.15591812133789
9,15,2,60.36214065551758,35.94713592529297
9,18,2,63.94760513305664,61.35209274291992
10,1,1,60.573829650878906,56.34634017944336
10,5,2,55.623985290527344,51.91804885864258
10,6,2,64.7729721069336,67.44393920898438
10,7,1,65.04997253417969,40.94985580444336
10,8,1,64.42887878417969,28.6188907623291
10,14,1,53.53677749633789,58.215606689453125
10,15,2,60.36214065551758,35.94713592529297
10,18,2,63.95073318481445,61.680931091308594
11,1,1,60.799774169921875,56.519290924072266
11,5,2,55.73594665527344,51.94084930419922
11,6,2,64.5978775024414,67.45222473144531
11,7,1,65.09476470947266,40.95890426635742
11,8,1,64.43328094482422,28.755252838134766
11,14,1,53.53348159790039,58.271759033203125
11,15,2,60.38566970825195,35.95187759399414
11,18,2,64.16986846923828,61.834354400634766
11,22,2,64.17410278320312,61.61766052246094
12,1,1,60.936641693115234,56.67354965209961
12,5,2,55.829246520996094,51.9598503112793
12,6,2,64.4083251953125,67.45745849609375
12,7,1,65.12007904052734,41.06541061401367
12,8,1,64.43767547607422,28.891206741333008
12,14,1,53.540306091308594,58.44297409057617
12,15,2,60.38566970825195,35.95187759399414
12,18,2,64.29022216796875,61.96714782714844
12,22,2,64.44180297851562,61.1212043762207
13,1,1,61.095340728759766,56.70594024658203
13,5,2,55.9038200378418,52.18654251098633
13,6,2,64.26335906982422,67.47177124023438
13,7,1,65.14533233642578,41.17163848876953
13,8,1,64.48929595947266,28.90155792236328
13,14,1,53.53047561645508,58.60980224609375
13,15,2,60.42325210571289,35.84703063964844
13,18,2,64.3910140991211,62.04170608520508
14,1,1,61.218780517578125,56.731136322021484
14,5,2,55.98420333862305,52.343162536621094
14,6,2,64.18416595458984,67.36726379394531
14,7,1,65.1733627319336,41.37877655029297
14,8,1,64.56672668457031,28.917085647583008
14,14,1,53.537269592285156,58.779052734375
14,15,2,60.52268600463867,35.07141876220703
14,18,2,64.45350646972656,62.00056838989258
14,34,1,64.80128479003906,62.17951583862305
15,1,1,61.30695343017578,56.7491340637207
15,5,2,56.045719146728516,52.49533462524414
15,6,2,63.99209976196289,67.32781982421875
15,7,1,65.24020385742188,41.39228439331055
15,8,1,64.59669494628906,29.05776596069336
15,14,1,53.54728698730469,58.89247131347656
15,15,2,60.460933685302734,35.74189376831055
15,18,2,64.60308074951172,62.08511734008789
16,1,1,61.360660552978516,56.94862747192383
16,5,2,56.12545394897461,52.65061950683594
16,6,2,63.80004119873047,67.28837585449219
16,7,1,65.26519775390625,41.4976806640625
16,8,1,64.6265640258789,29.198028564453125
16,14,1,53.56053924560547,58.950706481933594
16,15,2,60.44218826293945,36.075382232666016
16,18,2,64.75633239746094,61.900146484375
16,34,1,64.71852111816406,62.48342514038086
17,1,1,61.426124572753906,57.273658752441406
17,5,2,56.17442321777344,52.729896545410156
17,6,2,63.72617721557617,67.27320861816406
17,7,1,65.2901382446289,41.60280990600586
17,8,1,64.69978332519531,29.078441619873047
17,14,1,53.59357833862305,58.95746612548828
17,15,2,60.386268615722656,36.509521484375
17,18,2,64.76714324951172,62.49338150024414
18,1,1,61.502410888671875,57.53630447387695
18,5,2,56.26017761230469,52.8165168762207
18,6,2,63.570186614990234,67.32941436767578
18,7,1,65.31236267089844,41.607303619384766
18,8,1,64.75132751464844,29.08877944946289
18,14,1,53.6100959777832,58.960845947265625
18,15,2,60.381839752197266,36.729530334472656
18,18,2,64.88042449951172,62.14188766479492
18,22,2,65.0630111694336,61.02479553222656
18,34,1,64.751953125,62.86005401611328
19,1,1,61.61856460571289,57.68281173706055
19,5,2,56.36417007446289,52.90671157836914
19,6,2,63.39322280883789,67.2930679321289
19,7,1,65.31501007080078,41.707672119140625
19,8,1,64.78096771240234,29.22899627685547
19,14,1,53.64649200439453,58.91276550292969
19,15,2,60.405147552490234,36.734230041503906
19,18,2,64.95026397705078,62.26374053955078
19,22,2,65.30473327636719,60.8490104675293
19,34,1,64.65697479248047,63.20558547973633
20,1,1,61.70524978637695,57.88377380371094
20,5,2,56.43113327026367,52.98921203613281
20,6,2,63.1867790222168,67.25067138671875
20,7,1,65.29814910888672,41.90315628051758
20,8,1,64.8581771850586,29.244482040405273
20,14,1,53.679561614990234,58.919532775878906
20,15,2,60.41455078125,36.846126556396484
20,22,2,65.24384307861328,61.451778411865234
20,34,1,64.53666687011719,63.643287658691406
21,1,1,61.768516540527344,58.018253326416016
21,5,2,56.484413146972656,53.20576095581055
21,6,2,63.03932189941406,67.22039031982422
21,7,1,65.32553100585938,42.106571197509766
21,8,1,64.93538665771484,29.259967803955078
21,14,1,53.72916793823242,58.92967987060547
21,15,2,60.437828063964844,36.8508186340332
21,22,2,65.36458587646484,61.14251708984375
21,34,1,64.4444580078125,63.97873306274414
22,1,1,61.872318267822266,58.03945541381836
22,5,2,56.54415512084961,53.354331970214844
22,6,2,62.90279769897461,67.14826965332031
22,7,1,65.33075714111328,42.30449295043945
22,8,1,64.96471405029297,29.39972496032715
22,14,1,53.802337646484375,58.833274841308594
22,15,2,60.46110153198242,36.85551071166992
22,22,2,65.4236068725586,60.92979049682617
